street_address,laboratory,lab_data_availability,sample_id,collection_date,analysis_date,parameter,ppbv_results,ppbv_rl,ppbv_mdl,ug_m3_results,ug_m3_rl,ug_m3_mdl,dilution
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,Carbon disulfide,1.03,0.2,--,3.21,0.623,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,Freon-113,ND,0.2,--,ND,1.53,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,"trans-1,2-Dichloroethene",ND,0.2,--,ND,0.793,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,"1,1-Dichloroethane",ND,0.2,--,ND,0.809,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,Methyl tert butyl ether,ND,0.2,--,ND,0.721,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,2-Butanone,0.701,0.5,--,2.07,1.47,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,"cis-1,2-Dichloroethene",ND,0.2,--,ND,0.793,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,Ethyl Acetate,ND,0.5,--,ND,1.8,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,Chloroform,ND,0.2,--,ND,0.977,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,Tetrahydrofuran,ND,0.5,--,ND,1.47,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,"1,2-Dichloroethane",ND,0.2,--,ND,0.809,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,n-Hexane,0.271,0.2,--,0.955,0.705,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,"1,1,1-Trichloroethane",ND,0.2,--,ND,1.09,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,Benzene,0.837,0.2,--,2.67,0.639,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,Carbon tetrachloride,ND,0.2,--,ND,1.26,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,Cyclohexane,ND,0.2,--,ND,0.688,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,"1,2-Dichloropropane",ND,0.2,--,ND,0.924,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,Bromodichloromethane,ND,0.2,--,ND,1.34,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,"1,4-Dioxane",ND,0.2,--,ND,0.721,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,Trichloroethene,ND,0.2,--,ND,1.07,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,"2,2,4-Trimethylpentane",ND,0.2,--,ND,0.934,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,Heptane,ND,0.2,--,ND,0.82,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,"cis-1,3-Dichloropropene",ND,0.2,--,ND,0.908,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,4-Methyl-2-pentanone,ND,0.5,--,ND,2.05,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,"trans-1,3-Dichloropropene",ND,0.2,--,ND,0.908,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,"1,1,2-Trichloroethane",ND,0.2,--,ND,1.09,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,Toluene,1.07,0.2,--,4.03,0.754,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,2-Hexanone,ND,0.2,--,ND,0.82,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,Dibromochloromethane,ND,0.2,--,ND,1.7,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,"1,2-Dibromoethane",ND,0.2,--,ND,1.54,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,Tetrachloroethene,ND,0.2,--,ND,1.36,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,Chlorobenzene,ND,0.2,--,ND,0.921,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,Ethylbenzene,0.447,0.2,--,1.94,0.869,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,p/m-Xylene,1.74,0.4,--,7.56,1.74,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,Bromoform,ND,0.2,--,ND,2.07,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,Styrene,ND,0.2,--,ND,0.852,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,"1,1,2,2-Tetrachloroethane",ND,0.2,--,ND,1.37,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,o-Xylene,0.718,0.2,--,3.12,0.869,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,4-Ethyltoluene,ND,0.2,--,ND,0.983,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,"1,3,5-Trimethylbenzene",ND,0.2,--,ND,0.983,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,"1,2,4-Trimethylbenzene",0.262,0.2,--,1.29,0.983,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,Benzyl chloride,ND,0.2,--,ND,1.04,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,"1,3-Dichlorobenzene",ND,0.2,--,ND,1.2,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,"1,4-Dichlorobenzene",ND,0.2,--,ND,1.2,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,"1,2-Dichlorobenzene",ND,0.2,--,ND,1.2,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,"1,2,4-Trichlorobenzene",ND,0.2,--,ND,1.48,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-205,2016-02-18,2016-02-25,Hexachlorobutadiene,ND,0.2,--,ND,2.13,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Dichlorodifluoromethane,0.235,0.2,--,1.16,0.989,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Chloromethane,ND,0.2,--,ND,0.413,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Freon-114,ND,0.2,--,ND,1.4,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Vinyl chloride,ND,0.2,--,ND,0.511,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,"1,3-Butadiene",ND,0.2,--,ND,0.442,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Bromomethane,ND,0.2,--,ND,0.777,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Chloroethane,ND,0.2,--,ND,0.528,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Ethanol,ND,5,--,ND,9.42,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Vinyl bromide,ND,0.2,--,ND,0.874,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Acetone,5.85,1,--,13.9,2.38,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Trichlorofluoromethane,0.223,0.2,--,1.25,1.12,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Isopropanol,ND,0.5,--,ND,1.23,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,"1,1-Dichloroethene",ND,0.2,--,ND,0.793,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Tertiary butyl Alcohol,ND,0.5,--,ND,1.52,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Methylene chloride,1.03,0.5,--,3.58,1.74,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,3-Chloropropene,ND,0.2,--,ND,0.626,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Carbon disulfide,2.35,0.2,--,7.32,0.623,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Freon-113,ND,0.2,--,ND,1.53,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,"trans-1,2-Dichloroethene",ND,0.2,--,ND,0.793,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,"1,1-Dichloroethane",ND,0.2,--,ND,0.809,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Methyl tert butyl ether,ND,0.2,--,ND,0.721,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,2-Butanone,0.927,0.5,--,2.73,1.47,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,"cis-1,2-Dichloroethene",ND,0.2,--,ND,0.793,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Ethyl Acetate,ND,0.5,--,ND,1.8,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Chloroform,ND,0.2,--,ND,0.977,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Tetrahydrofuran,ND,0.5,--,ND,1.47,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,"1,2-Dichloroethane",ND,0.2,--,ND,0.809,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,n-Hexane,1.67,0.2,--,5.89,0.705,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,"1,1,1-Trichloroethane",ND,0.2,--,ND,1.09,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Benzene,0.284,0.2,--,0.907,0.639,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Carbon tetrachloride,ND,0.2,--,ND,1.26,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Cyclohexane,ND,0.2,--,ND,0.688,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,"1,2-Dichloropropane",ND,0.2,--,ND,0.924,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Bromodichloromethane,ND,0.2,--,ND,1.34,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,"1,4-Dioxane",ND,0.2,--,ND,0.721,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Trichloroethene,ND,0.2,--,ND,1.07,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,"2,2,4-Trimethylpentane",ND,0.2,--,ND,0.934,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Heptane,0.433,0.2,--,1.77,0.82,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,"cis-1,3-Dichloropropene",ND,0.2,--,ND,0.908,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,4-Methyl-2-pentanone,ND,0.5,--,ND,2.05,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,"trans-1,3-Dichloropropene",ND,0.2,--,ND,0.908,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,"1,1,2-Trichloroethane",ND,0.2,--,ND,1.09,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Toluene,0.279,0.2,--,1.05,0.754,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,2-Hexanone,ND,0.2,--,ND,0.82,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Dibromochloromethane,ND,0.2,--,ND,1.7,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,"1,2-Dibromoethane",ND,0.2,--,ND,1.54,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Tetrachloroethene,ND,0.2,--,ND,1.36,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Chlorobenzene,ND,0.2,--,ND,0.921,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Ethylbenzene,0.215,0.2,--,0.934,0.869,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,p/m-Xylene,0.651,0.4,--,2.83,1.74,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Bromoform,ND,0.2,--,ND,2.07,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Styrene,ND,0.2,--,ND,0.852,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,"1,1,2,2-Tetrachloroethane",ND,0.2,--,ND,1.37,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,o-Xylene,0.359,0.2,--,1.56,0.869,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,4-Ethyltoluene,ND,0.2,--,ND,0.983,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,"1,3,5-Trimethylbenzene",ND,0.2,--,ND,0.983,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,"1,2,4-Trimethylbenzene",ND,0.2,--,ND,0.983,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Benzyl chloride,ND,0.2,--,ND,1.04,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,"1,3-Dichlorobenzene",ND,0.2,--,ND,1.2,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,"1,4-Dichlorobenzene",0.476,0.2,--,2.86,1.2,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,"1,2-Dichlorobenzene",ND,0.2,--,ND,1.2,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,"1,2,4-Trichlorobenzene",ND,0.2,--,ND,1.48,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-206,2016-02-18,2016-02-25,Hexachlorobutadiene,ND,0.2,--,ND,2.13,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Dichlorodifluoromethane,0.23,0.2,--,1.14,0.989,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Chloromethane,ND,0.2,--,ND,0.413,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Freon-114,ND,0.2,--,ND,1.4,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Vinyl chloride,ND,0.2,--,ND,0.511,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,"1,3-Butadiene",ND,0.2,--,ND,0.442,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Bromomethane,ND,0.2,--,ND,0.777,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Chloroethane,ND,0.2,--,ND,0.528,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Ethanol,ND,5,--,ND,9.42,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Vinyl bromide,ND,0.2,--,ND,0.874,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Acetone,3.37,1,--,8.01,2.38,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Trichlorofluoromethane,ND,0.2,--,ND,1.12,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Isopropanol,ND,0.5,--,ND,1.23,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,"1,1-Dichloroethene",ND,0.2,--,ND,0.793,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Tertiary butyl Alcohol,ND,0.5,--,ND,1.52,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Methylene chloride,ND,0.5,--,ND,1.74,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,3-Chloropropene,ND,0.2,--,ND,0.626,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Carbon disulfide,3.11,0.2,--,9.68,0.623,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Freon-113,ND,0.2,--,ND,1.53,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,"trans-1,2-Dichloroethene",ND,0.2,--,ND,0.793,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,"1,1-Dichloroethane",ND,0.2,--,ND,0.809,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Methyl tert butyl ether,ND,0.2,--,ND,0.721,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,2-Butanone,ND,0.5,--,ND,1.47,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,"cis-1,2-Dichloroethene",ND,0.2,--,ND,0.793,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Ethyl Acetate,ND,0.5,--,ND,1.8,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Chloroform,ND,0.2,--,ND,0.977,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Tetrahydrofuran,ND,0.5,--,ND,1.47,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,"1,2-Dichloroethane",ND,0.2,--,ND,0.809,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,n-Hexane,0.682,0.2,--,2.4,0.705,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,"1,1,1-Trichloroethane",ND,0.2,--,ND,1.09,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Benzene,0.245,0.2,--,0.783,0.639,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Carbon tetrachloride,ND,0.2,--,ND,1.26,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Cyclohexane,ND,0.2,--,ND,0.688,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,"1,2-Dichloropropane",ND,0.2,--,ND,0.924,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Bromodichloromethane,ND,0.2,--,ND,1.34,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,"1,4-Dioxane",ND,0.2,--,ND,0.721,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Trichloroethene,ND,0.2,--,ND,1.07,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,"2,2,4-Trimethylpentane",ND,0.2,--,ND,0.934,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Heptane,0.237,0.2,--,0.971,0.82,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,"cis-1,3-Dichloropropene",ND,0.2,--,ND,0.908,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,4-Methyl-2-pentanone,ND,0.5,--,ND,2.05,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,"trans-1,3-Dichloropropene",ND,0.2,--,ND,0.908,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,"1,1,2-Trichloroethane",ND,0.2,--,ND,1.09,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Toluene,0.336,0.2,--,1.27,0.754,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,2-Hexanone,ND,0.2,--,ND,0.82,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Dibromochloromethane,ND,0.2,--,ND,1.7,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,"1,2-Dibromoethane",ND,0.2,--,ND,1.54,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Tetrachloroethene,ND,0.2,--,ND,1.36,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Chlorobenzene,ND,0.2,--,ND,0.921,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Ethylbenzene,0.314,0.2,--,1.36,0.869,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,p/m-Xylene,1.17,0.4,--,5.08,1.74,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Bromoform,ND,0.2,--,ND,2.07,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Styrene,ND,0.2,--,ND,0.852,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,"1,1,2,2-Tetrachloroethane",ND,0.2,--,ND,1.37,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,o-Xylene,0.666,0.2,--,2.89,0.869,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,4-Ethyltoluene,ND,0.2,--,ND,0.983,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,"1,3,5-Trimethylbenzene",ND,0.2,--,ND,0.983,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,"1,2,4-Trimethylbenzene",ND,0.2,--,ND,0.983,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Benzyl chloride,ND,0.2,--,ND,1.04,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,"1,3-Dichlorobenzene",ND,0.2,--,ND,1.2,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,"1,4-Dichlorobenzene",0.529,0.2,--,3.18,1.2,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,"1,2-Dichlorobenzene",ND,0.2,--,ND,1.2,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,"1,2,4-Trichlorobenzene",ND,0.2,--,ND,1.48,--,1
75 Dupont Street,Alpha Analytical,Yes,SV-207,2016-02-18,2016-02-25,Hexachlorobutadiene,ND,0.2,--,ND,2.13,--,1
75 Dupont Street,Alpha Analytical,Yes,IA-301,2016-02-18,2016-02-26,Dichlorodifluoromethane,0.456,0.2,--,2.25,0.989,--,1
75 Dupont Street,Alpha Analytical,Yes,IA-301,2016-02-18,2016-02-26,Chloromethane,0.495,0.2,--,1.02,0.413,--,1
75 Dupont Street,Alpha Analytical,Yes,IA-301,2016-02-18,2016-02-26,Freon-114,ND,0.2,--,ND,1.4,--,1
75 Dupont Street,Alpha Analytical,Yes,IA-301,2016-02-18,2016-02-26,"1,3-Butadiene",ND,0.2,--,ND,0.442,--,1
75 Dupont Street,Alpha Analytical,Yes,IA-301,2016-02-18,2016-02-26,Bromomethane,ND,0.2,--,ND,0.777,--,1
75 Dupont Street,Alpha Analytical,Yes,IA-301,2016-02-18,2016-02-26,Chloroethane,ND,0.2,--,ND,0.528,--,1
75 Dupont Street,Alpha Analytical,Yes,IA-301,2016-02-18,2016-02-26,Vinyl bromide,ND,0.2,--,ND,0.874,--,1
75 Dupont Street,Alpha Analytical,Yes,IA-301,2016-02-18,2016-02-26,Acetone,1.81,1,--,4.3,2.38,--,1
75 Dupont Street,Alpha Analytical,Yes,IA-301,2016-02-18,2016-02-26,Trichlorofluoromethane,0.221,0.2,--,1.24,1.12,--,1
75 Dupont Street,Alpha Analytical,Yes,IA-301,2016-02-18,2016-02-26,Isopropanol,ND,0.5,--,ND,1.23,--,1
75 Dupont Street,Alpha Analytical,Yes,IA-301,2016-02-18,2016-02-26,Tertiary butyl Alcohol,ND,0.5,--,ND,1.52,--,1
75 Dupont Street,Alpha Analytical,Yes,IA-301,2016-02-18,2016-02-26,Methylene chloride,ND,0.5,--,ND,1.74,--,1
75 Dupont Street,Alpha Analytical,Yes,IA-301,2016-02-18,2016-02-26,3-Chloropropene,ND,0.2,--,ND,0.626,--,1
75 Dupont Street,Alpha Analytical,Yes,IA-301,2016-02-18,2016-02-26,Carbon disulfide,ND,0.2,--,ND,0.623,--,1
75 Dupont Street,Alpha Analytical,Yes,IA-301,2016-02-18,2016-02-26,Freon-113,ND,0.2,--,ND,1.53,--,1
75 Dupont Street,Alpha Analytical,Yes,IA-301,2016-02-18,2016-02-26,"trans-1,2-Dichloroethene",ND,0.2,--,ND,0.793,--,1
75 Dupont Street,Alpha Analytical,Yes,IA-301,2016-02-18,2016-02-26,"1,1-Dichloroethane",ND,0.2,--,ND,0.809,--,1
75 Dupont Street,Alpha Analytical,Yes,IA-301,2016-02-18,2016-02-26,Methyl tert butyl ether,ND,0.2,--,ND,0.721,--,1
75 Dupont Street,Alpha Analytical,Yes,IA-301,2016-02-18,2016-02-26,2-Butanone,ND,0.5,--,ND,1.47,--,1
75 Dupont Street,Alpha Analytical,Yes,IA-301,2016-02-18,2016-02-26,Ethyl Acetate,ND,0.5,--,ND,1.8,--,1
